Time (CET),Day-ahead Total Load Forecast [MW] - BZN|DE-LU,Actual Total Load [MW] - BZN|DE-LU
01.01.2019 00:00 - 01.01.2019 00:15,44202,44200
01.01.2019 00:15 - 01.01.2019 00:30,43988,43694
01.01.2019 00:30 - 01.01.2019 00:45,43433,43205
01.01.2019 00:45 - 01.01.2019 01:00,42889,43008
01.01.2019 01:00 - 01.01.2019 01:15,42374,42660
01.01.2019 01:15 - 01.01.2019 01:30,41868,42178
01.01.2019 01:30 - 01.01.2019 01:45,41341,41650
01.01.2019 01:45 - 01.01.2019 02:00,41068,40714
01.01.2019 02:00 - 01.01.2019 02:15,40760,40824
01.01.2019 02:15 - 01.01.2019 02:30,40521,40387
01.01.2019 02:30 - 01.01.2019 02:45,40485,39715
01.01.2019 02:45 - 01.01.2019 03:00,40446,39524
01.01.2019 03:00 - 01.01.2019 03:15,40267,39792
01.01.2019 03:15 - 01.01.2019 03:30,40218,39432
01.01.2019 03:30 - 01.01.2019 03:45,40287,39381
01.01.2019 03:45 - 01.01.2019 04:00,40273,39356
01.01.2019 04:00 - 01.01.2019 04:15,40425,39358
01.01.2019 04:15 - 01.01.2019 04:30,40580,39298
01.01.2019 04:30 - 01.01.2019 04:45,40674,39295
01.01.2019 04:45 - 01.01.2019 05:00,40734,39135
01.01.2019 05:00 - 01.01.2019 05:15,41008,39128
01.01.2019 05:15 - 01.01.2019 05:30,40858,38856
01.01.2019 05:30 - 01.01.2019 05:45,40917,38801
01.01.2019 05:45 - 01.01.2019 06:00,40834,38489
01.01.2019 06:00 - 01.01.2019 06:15,40369,38096
01.01.2019 06:15 - 01.01.2019 06:30,40673,38172
01.01.2019 06:30 - 01.01.2019 06:45,40895,38292
01.01.2019 06:45 - 01.01.2019 07:00,41197,38111
01.01.2019 07:00 - 01.01.2019 07:15,41861,38650
01.01.2019 07:15 - 01.01.2019 07:30,42213,38838
01.01.2019 07:30 - 01.01.2019 07:45,43715,38869
01.01.2019 07:45 - 01.01.2019 08:00,44562,39228
01.01.2019 08:00 - 01.01.2019 08:15,45789,39271
01.01.2019 08:15 - 01.01.2019 08:30,45872,39382
01.01.2019 08:30 - 01.01.2019 08:45,46341,39830
01.01.2019 08:45 - 01.01.2019 09:00,46876,40207
01.01.2019 09:00 - 01.01.2019 09:15,48129,41137
01.01.2019 09:15 - 01.01.2019 09:30,49049,41890
01.01.2019 09:30 - 01.01.2019 09:45,49541,42602
01.01.2019 09:45 - 01.01.2019 10:00,49857,43227
01.01.2019 10:00 - 01.01.2019 10:15,50412,43967
01.01.2019 10:15 - 01.01.2019 10:30,51048,44555
01.01.2019 10:30 - 01.01.2019 10:45,51269,45281
01.01.2019 10:45 - 01.01.2019 11:00,52098,45843
01.01.2019 11:00 - 01.01.2019 11:15,52478,46864
01.01.2019 11:15 - 01.01.2019 11:30,53164,47671
01.01.2019 11:30 - 01.01.2019 11:45,53907,48354
01.01.2019 11:45 - 01.01.2019 12:00,54398,48594
01.01.2019 12:00 - 01.01.2019 12:15,53654,49018
01.01.2019 12:15 - 01.01.2019 12:30,53811,49168
01.01.2019 12:30 - 01.01.2019 12:45,53125,49172
01.01.2019 12:45 - 01.01.2019 13:00,52569,49299
01.01.2019 13:00 - 01.01.2019 13:15,51938,49059
01.01.2019 13:15 - 01.01.2019 13:30,51291,48845
01.01.2019 13:30 - 01.01.2019 13:45,51046,48867
01.01.2019 13:45 - 01.01.2019 14:00,50203,48769
01.01.2019 14:00 - 01.01.2019 14:15,50111,48822
01.01.2019 14:15 - 01.01.2019 14:30,49251,48641
01.01.2019 14:30 - 01.01.2019 14:45,49491,48603
01.01.2019 14:45 - 01.01.2019 15:00,49790,48532
01.01.2019 15:00 - 01.01.2019 15:15,49916,48814
01.01.2019 15:15 - 01.01.2019 15:30,49333,48877
01.01.2019 15:30 - 01.01.2019 15:45,49567,49040
01.01.2019 15:45 - 01.01.2019 16:00,49494,49145
01.01.2019 16:00 - 01.01.2019 16:15,50110,49569
01.01.2019 16:15 - 01.01.2019 16:30,51032,50167
01.01.2019 16:30 - 01.01.2019 16:45,51740,51291
01.01.2019 16:45 - 01.01.2019 17:00,52000,52216
01.01.2019 17:00 - 01.01.2019 17:15,53324,53360
01.01.2019 17:15 - 01.01.2019 17:30,54001,53745
01.01.2019 17:30 - 01.01.2019 17:45,54805,54184
01.01.2019 17:45 - 01.01.2019 18:00,54820,54582
01.01.2019 18:00 - 01.01.2019 18:15,55092,54735
01.01.2019 18:15 - 01.01.2019 18:30,55327,54719
01.01.2019 18:30 - 01.01.2019 18:45,55180,54687
01.01.2019 18:45 - 01.01.2019 19:00,55063,54612
01.01.2019 19:00 - 01.01.2019 19:15,54674,54521
01.01.2019 19:15 - 01.01.2019 19:30,54081,54030
01.01.2019 19:30 - 01.01.2019 19:45,53523,53589
01.01.2019 19:45 - 01.01.2019 20:00,53003,52970
01.01.2019 20:00 - 01.01.2019 20:15,52484,52414
01.01.2019 20:15 - 01.01.2019 20:30,51382,51921
01.01.2019 20:30 - 01.01.2019 20:45,50701,51260
01.01.2019 20:45 - 01.01.2019 21:00,50410,50591
01.01.2019 21:00 - 01.01.2019 21:15,49633,50197
